469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04011;Stadt Bremen;2013-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;149401;34251;85592;16777
04011;Stadt Bremen;2013-09;Sonstige Einrichtungen 3);4;443;9841;1289;2887;461
04011;Stadt Bremen;2013-09;Insgesamt;93;10099;159242;35540;88479;17238
04011;Stadt Bremen;2013-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;144278;37727;81517;19147
04011;Stadt Bremen;2013-08;Sonstige Einrichtungen 3);4;443;10450;2931;3831;1408
04011;Stadt Bremen;2013-08;Insgesamt;93;10099;154728;40658;85348;20555
04011;Stadt Bremen;2013-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;129900;36288;74720;19131
04011;Stadt Bremen;2013-07;Sonstige Einrichtungen 3);4;443;10028;3505;3554;1954
04011;Stadt Bremen;2013-07;Insgesamt;93;10099;139928;39793;78274;21085
04011;Stadt Bremen;2013-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;133750;33561;78015;17064
04011;Stadt Bremen;2013-06;Sonstige Einrichtungen 3);4;443;8929;2277;2871;1029
04011;Stadt Bremen;2013-06;Insgesamt;93;10099;142679;35838;80886;18093
04011;Stadt Bremen;2013-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;145360;33749;81897;16726
04011;Stadt Bremen;2013-05;Sonstige Einrichtungen 3);4;443;9164;1031;3317;525
04011;Stadt Bremen;2013-05;Insgesamt;93;10099;154524;34780;85214;17251
04011;Stadt Bremen;2013-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;126654;32172;73144;16287
04011;Stadt Bremen;2013-04;Sonstige Einrichtungen 3);4;443;9106;1338;3069;693
04011;Stadt Bremen;2013-04;Insgesamt;93;10099;135760;33510;76213;16980
04011;Stadt Bremen;2013-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;108563;24917;62397;12810
04011;Stadt Bremen;2013-03;Sonstige Einrichtungen 3);4;443;8810;1204;3344;452
04011;Stadt Bremen;2013-03;Insgesamt;93;10099;117373;26121;65741;13262
04011;Stadt Bremen;2013-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;103349;21737;60401;11313
04011;Stadt Bremen;2013-02;Sonstige Einrichtungen 3);4;443;6765;571;3688;278
04011;Stadt Bremen;2013-02;Insgesamt;93;10099;110114;22308;64089;11591
04011;Stadt Bremen;2013-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;96722;21289;57271;11063
04011;Stadt Bremen;2013-01;Sonstige Einrichtungen 3);4;443;3715;370;1830;297
04011;Stadt Bremen;2013-01;Insgesamt;93;10099;100437;21659;59101;11360
04011;Stadt Bremen;2012-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;122664;26604;70336;13490
04011;Stadt Bremen;2012-12;Sonstige Einrichtungen 3);3;331;3330;971;1643;399
04011;Stadt Bremen;2012-12;Insgesamt;90;9599;125994;27575;71979;13889
04011;Stadt Bremen;2012-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;130377;28959;75932;14552
04011;Stadt Bremen;2012-11;Sonstige Einrichtungen 3);3;331;4787;905;2353;408
04011;Stadt Bremen;2012-11;Insgesamt;90;9599;135164;29864;78285;14960
04011;Stadt Bremen;2012-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;143148;35453;79280;17107
04011;Stadt Bremen;2012-10;Sonstige Einrichtungen 3);3;331;7584;1115;3359;554
04011;Stadt Bremen;2012-10;Insgesamt;90;9599;150732;36568;82639;17661
04011;Stadt Bremen;2012-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;141300;30555;79252;15494
04011;Stadt Bremen;2012-09;Sonstige Einrichtungen 3);3;331;7430;1153;3126;644
04011;Stadt Bremen;2012-09;Insgesamt;90;9599;148730;31708;82378;16138
04011;Stadt Bremen;2012-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;117250;31179;65311;15650
04011;Stadt Bremen;2012-08;Sonstige Einrichtungen 3);3;331;7693;2926;3147;1426
04011;Stadt Bremen;2012-08;Insgesamt;90;9599;124943;34105;68458;17076
04011;Stadt Bremen;2012-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;122072;36398;68670;18106
04011;Stadt Bremen;2012-07;Sonstige Einrichtungen 3);3;331;7574;3196;3492;1907
04011;Stadt Bremen;2012-07;Insgesamt;90;9599;129646;39594;72162;20013
04011;Stadt Bremen;2012-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;126161;32749;71559;17129
04011;Stadt Bremen;2012-06;Sonstige Einrichtungen 3);3;331;6864;1973;3279;1059
04011;Stadt Bremen;2012-06;Insgesamt;90;9599;133025;34722;74838;18188
04011;Stadt Bremen;2012-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;124144;27256;73840;14529
04011;Stadt Bremen;2012-05;Sonstige Einrichtungen 3);3;331;7230;1920;3136;787
04011;Stadt Bremen;2012-05;Insgesamt;90;9599;131374;29176;76976;15316
04011;Stadt Bremen;2012-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;116594;27292;68067;14476
04011;Stadt Bremen;2012-04;Sonstige Einrichtungen 3);3;331;6751;1368;3079;722
04011;Stadt Bremen;2012-04;Insgesamt;90;9599;123345;28660;71146;15198
04011;Stadt Bremen;2012-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;109113;26174;66384;13980
04011;Stadt Bremen;2012-03;Sonstige Einrichtungen 3);3;331;6136;630;2890;382
04011;Stadt Bremen;2012-03;Insgesamt;90;9599;115249;26804;69274;14362
04011;Stadt Bremen;2012-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;106855;21848;65893;12262
04011;Stadt Bremen;2012-02;Sonstige Einrichtungen 3);3;331;2960;448;1573;251
04011;Stadt Bremen;2012-02;Insgesamt;90;9599;109815;22296;67466;12513
04011;Stadt Bremen;2012-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;87;9268;96791;21002;59513;11155
